country 1-5m 5-10m 10-50m 50-100m 100-500m 500+m
Usa 18128940 2977359 1479465 90661 31629 1583
China 5547086 424000 226883 20257 11384 1268
France 2628568 137305 51403 2638 1168 82
Japan 2597192 110856 45412 2838 1017 77
Germany 2369770 164543 83414 5573 3208 315
Uk 2390318 114371 47420 2664 1209 108
Canada 1864062 109739 53597 2878 1567 112
Australia 1691864 98656 46174 2341 1336 99
Italy 1225495 73708 32502 2355 1158 99
Korea 1160465 68379 21908 2088 1200 114
Netherlands 1098783 52998 22242 1007 395 23
Spain 1047851 60918 24472 1447 658 51
Switzerland 969637 83470 42797 2312 1058 92
India 739957 63157 40359 3322 1931 229
Taiwan 693463 46487 22268 1565 793 86
HongKong 562423 40420 23639 1787 1139 127
Belgium 515891 15688 4178 192 94 15
Sweden 417767 30845 16889 1091 777 54
Brazil 365034 27365 17983 1809 1170 125
Russia 352116 29505 21465 2441 1756 294
Mexico 367110 15915 9247 662 334 33
Denmark 337364 18770 9173 516 266 26
SaudiArabia 317745 24737 10723 244 77 3
Norway 323055 17293 10427 455 328 27
Singapore 294217 23269 13266 1045 616 78
Austria 275981 18733 6272 468 252 32
NewZealand 233524 15626 5341 243 89 9
Iran 222136 15870 7596 239 119 51
Uae 194327 16609 8835 600 334 48
Indonesia 154156 13045 8401 699 401 55
Israel 152508 12735 7110 489 448 57
Ireland 156051 9179 4518 246 96 15
Portugal 159044 6066 2231 57 42 9
Finland 84212 5994 2022 235 119 27
Poland 83173 3727 2482 168 94 17
Thailand 76297 5610 4409 467 273 44
SouthAfrica 77154 4763 2455 148 84 10
Greece 71071 5491 2247 85 28 1
Czechia 66949 5978 3690 319 160 33
Egypt 68308 5017 2546 180 94 18
Philippines 58882 5470 3768 373 199 35
Chile 55895 3829 2201 171 91 20
Turkey 52392 4835 2920 320 124 31
Kazakhstan 50711 4115 2605 297 189 48
Malaysia 44169 3705 2591 284 177 32
Vietnam 36887 3082 1853 119 77 13
Nigeria 34615 2412 1381 71 60 17
Bangladesh 25917 1156 423 40 44 22
Pakistan 13493 667 262 35 41 23
